id,time_epoch,group_id,netvar_calculation_id,netvar_count_ff,netvar_count_xor,netvar_count_xor_alt,netvar_count_xor_gt_medians,reporting_devices,aggregate_start_epoch,aggregate_end_epoch
66335855,1707955200,1,1,-0.963,-0.9855,2.2275,0.3448,211,1707782400,1707868799
66335858,1707955200,41,1,-0.2306,-0.901,-0.6213,0.3431,10,1707782400,1707868799
66335861,1707955200,137,1,-0.9745,-0.5115,-0.2722,7.4463,10,1707782400,1707868799
66335857,1707955200,34,2,2.9719,-0.9356,-0.8748,-0.9659,9,1707782400,1707868799
66335860,1707955200,75,1,-0.0575,-0.9828,-0.7266,-0.6802,9,1707782400,1707868799
66335865,1707955201,1,1,0.221,-0.9509,-0.1551,-0.986,211,1707782400,1707868799
66335868,1707955201,41,1,-0.9946,0.951,-0.0238,1.195,10,1707782400,1707868799
66335871,1707955201,137,1,-0.4037,-0.7823,0.8004,-0.5488,10,1707782400,1707868799
66335867,1707955201,34,2,-0.9873,-0.697,-0.9951,-0.5685,9,1707782400,1707868799
...
359142503,1721179438,1,1,6.2939,2.5646,-0.9637,3.9568,279,1721088000,1721174399
359142743,1721179438,137,1,-0.7762,-0.7988,-0.2443,-0.9863,14,1721088000,1721174399
359142563,1721179438,41,1,-0.3933,-0.9383,-0.3932,2.6483,11,1721088000,1721174399
359142443,1721179438,34,2,-0.7154,-0.3921,-0.9618,0.6921,10,1721088000,1721174399
359142683,1721179438,75,1,-0.6093,-0.3832,2.7324,-0.1981,9,1721088000,1721174399
359142504,1721179439,1,1,0.4758,-0.6677,-0.8717,2.3186,279,1721088000,1721174399
359142744,1721179439,137,1,-0.9996,-0.6976,-0.8632,-0.3728,14,1721088000,1721174399
359142564,1721179439,41,1,3.279,-0.9096,1.1612,-0.889,11,1721088000,1721174399
359142444,1721179439,34,2,-0.9307,0.151,-0.2095,1.1795,10,1721088000,1721174399
359142684,1721179439,75,1,-0.8754,-0.8371,-0.1044,0.0725,9,1721088000,1721174399
